The Downtown

d100 Downtown
1-2    Pharmacy
77-78   Orbital assassin, amphetamine user, bright neon-green eyes
79-80   Conflicted Buddhist, connoisseur of classic Blues artists
81-82   Writes pithy anonymous diary blog, plans to write book
83-84   Classically-trained pianist, combat medic, lives in her car
85-86   Yogic guru, clean living, obsidian cyberarms, pansexual
87-88   Looks like young Madonna, denies it; pink plastic cyberarm
89-90   Wealthy with an impressive property portfolio, soldiers for fun
91-92   Nazi Country & Western fan, feels most alive post-kill
93-94   Wants to be master of own destiny, denies he's trapped
95-96   No regard for collateral damage, keeps tropical fish
97-98   Lost entire family to wasting plague, inconsolable, suicidal
99-100  Glitchy GPS, no direction sense, trackable, argumentative

d100    Weapon
1-2     Flechette pistols
3-4     Teleoperated drones
5-6     Hydraulic fists, bites
7-8     Aware weapons lAN
9-10    Spider venom rounds
11-12   Ornate monokatana
13-14   Hunter-seeker rounds
15-16   Pearl handled Glock
17-18   Bulky laser rifle
19-20   Scoped needle-rifle
21-22   Monowire mines
23-24   Implanted zhi dao
25-26   Exploding munitions
27-28   Nerve-burner bombs
29-30   3D printed QBZ-95
31-32   Railgun sniper
33-34   Compound bow
35-36   Sleek microwavers
37-38   Dissolving Nanorounds
39-40   Martial art techniques
41-42   Antique uZI, SOPMODs
43-44   Auto grenade launcher
45-46   Drum-fed AK74
47-48   Self-destructing gun
49-50   Twin compact SMGs
51-52   Charm-covered Steyr
53-54   Liquid nitrogen rounds
55-56   Camo autoshotgun
57-58   Ornate bladed fingers
59-60   Incendiary rounds
61-62   Flechette adapted M4
63-64   Screamer grenades
65-66   Big polymer revolvers
67-68   Hands-free trigger
69-70   Rifle with chatty AI
71-72   Cortex bomb
73-74   Bright Plastic SMG
75-76   Chinese SMG clone
77-78   Caseless KRISS Vector
79-80   Brace of small pistols
81-82   Scanner shielded gun
83-84   Inbuilt Scorpion SMGs
85-86   Crippler rounds
87-88   Taser, monoknives
89-90   Compact stutter-laser
91-92   Disposable pistols
93-94   Toxin-loaded needlers
95-96   Underslung blinder
97-98   Full spectrum targeter
99-100  Belt-fed chaingun

d100    Appearance/Demeanour
1-2     Big, black, worn leather duster, irritable
3-4     Sadistic, tattooed smart-armour link points
5-6     Full body cyborg, crudely sprayed pink
7-8     Likeable pothead, buff, always wears black
9-10    Chips different personalities, sharp suits
11-12   Suited, armour skin, afraid of dark, Ir eyes
13-14   Quiff, beard, tattoo sleeves, ear spacers
15-16   Wears purple, plays sax, mood swings
17-18   Pragmatic, funny, wears black duster
19-20   Hobo-chic, beanie hat, beard, tenacious
21-22   Bleached spikes, wraparounds, agitated
23-24   Brushed aluminium body armour, focussed
25-26   Sensitive to strong smells, heavy armour
27-28   Teen, skinny jeans, army boots, hoodies
29-30   Outmoded implants, retro-70s fashion
31-32   Daddy issues, wears figure-hugging black
33-34   Distracted, fantasist, wears black denim
35-36   Motocross leathers, cyberbike, feminist
37-38   Grey camo armour vest, always angry
39-40   Lithe West Indian, faint hex-pattern on skin
41-42   Scarred, dented, guarded, loose jumpsuit
43-44   Cynical, risk taker, sickly, wears layers
45-46   Theatrical, serious, black Ts, shades
47-48   Wheezing, scarred, sportswear, gold chains
49-50   Vicious, VR-trained clone, tight leathers
51-52   Bald, goatee, utility vest, superstitious
53-54   Slim cyborg, conservative, chaste, classy
55-56   Red leather jacket, corn rows, obsessive
57-58   Athletic, hijab, full mirrored smart-visor
59-60   Short mohawk, long coat, trusting
61-62   Insanely ruthless, stylish, hunted
63-64   Defensive, literal, squat, padded jackets
65-66   Furtive, physically fit, chic, intimidating
67-68   Sloppy, unprofessional, cheap casuals
69-70   Hen pecked, camos, buzz cut, rational
71-72   Callous, irrational, needy, loose clothes
73-74   Wirey, short, girlish, harajuku style, tired
75-76   Uneducated, easily manipulated, tagged
77-78   Super-model looks, cat like grace, cold
79-80   Shaved head, fame seeker, baggy combats
81-82   Designer stubble, camo armoured jacket
83-84   Muscular, tall, casuals, do-rags
85-86   Self absorbed, baggy flight suits, sneakers
87-88   Biker jacket, fingerless gloves, prude
89-90   Well groomed, expensive clothes, open
91-92   Plaid flannel, denim, cracked brown leather
93-94   Long, lank, black hair, chrome eyes, gaunt
95-96   Effeminate, black silks, raincoat, quick
97-98   Carries photos, depressed, bulky flak vest
99-100  Gum chewer, olive drab armour, moustache

d100    Relationship
1-2     Knows of...
3-4     Wants to kill...
5-6     Lusts after...
7-8     Friends with...
9-10    Worked with...
11-12   Owes favour to...
13-14   Jealous of...
15-16   Irritates...
17-18   Looking for...
19-20   Hiding from...
21-22   Owes money to...
23-24   Suspicious of...
25-26   Obsessed with...
27-28   Makes use of...
29-30   In love with...
31-32   Friends with...
33-34   Interested in...
35-36   Concerned for...
37-38   Trusts only...
39-40   Unimpressed by...
41-42   Manipulating...
43-44   Wary of...
45-46   Betrayed...
47-48   Worked with...
49-50   Intimidates...
51-52   Attracted to...
53-54   In love with...
55-56   Afraid of...
57-58   Rivalry with...
59-60   Knows all about...
61-62   Won't work with...
63-64   Worked with...
65-66   Makes use of...
67-68   Despises...
69-70   Irritates...
71-72   Sleeping with...
73-74   Was lover of...
75-76   Seeks aid of...
77-78   Friends with...
79-80   Suspicious of...
81-82   Lusts after...
83-84   Tried to kill...
85-86   Annoyed by...
87-88   Disgusted by...
89-90   Hates...
91-92   Manipulating...
93-94   Irritated by...
95-96   Bored by...
97-98   Trusts only...
99-100  Rival of... (1-2)

Antisocial Media

d10 Sonic Youth (Musical Style/Genre)
1   Black Ambient
2   Photonic Wave
3   Xhosa Trance
4   Industrial Grind house
5   Eurozeit Groove
6   Chip hop
7   Glitchcore
8   Machine-Soul Dub
9   Toxic Ska
10  Anthemic NeoPunk

d10 On Demand (Vid Show)
1  Implant Fixers (reality/comedy)
2  Simsense & Sensibility (drama)
3  Zone runner Xtreme (gameshow)
4  Crash & Burn (hacking competition)
5  My Two Clones (sitcom)
6  Atomic Geisha Dojo (gameshow)
7  Personality Adjustment (reality)
8  The Clade (soap opera)
9  Fracture Point (cop show)
10 Alt Cult Zero (documentary)

d10 Social Media (Online Presence)
1   Impossibly dull, mainly life memes
2   Sickening, cute, GIF-heavy, juvenile
3   Dominated by political viewpoint
4   Social Justice Champion
5   Work related self-promotion
6   Fan of unlikely musical genre
7   Lonely - desperate to make friends
8   Mainly family and friends (lots)
9   Sexually predatory, catfish/stalker
10  Hobby focused (gaming/making)

d10 Hot New Fads (What’s in this week?)
1  Everybody loves neutraceuticals
2  Weatherproof glowing ponchos
3  Slacktivist angst-lit forums
4  Smeat™ (smart meat; pick flavour)
5  Zone dancing in public places
6  Expensive Sumo Food® kale shakes
7  Randomiser-app-driven conversation
8  Freak Fighter brand endorsements
9  Info-socialism - secret-free society
10 Fabrics change colour with mood

d10 Vendomat Goods
1   Hot/Cold Beverages       Coffee, tea, cocoa, sodas, water, juice, shakes, energy drinks
2   Hot/Cold Food            Burritos, noodles, burgers, fries, SCOP, sandwiches, 'sushi'
3   Stimulants               Cigarettes, cigars, e-cig fluid, patches, caffeine tabs, alcohol
4   Travel Packs             Toiletries, travel guides, cosmetics, sanitaries, sunglasses
5   Electronics              Headphones, batteries, phones, torches, cameras, radios
6   Personal Defense         Tasers, pepper spray, telescoping batons, polymer oneshots
7   Clothing                 Rainwear, underclothes, thermals, hats, t-shirts, socks
8   Media                    Newsprint, digital music, games, films, simstim, e-books
9   Pharmaceuticals          Medicines, contraceptives, first aid, sensory aids, vitamins
10  Snacks                   Gum, candy, chips/crisps, popcorn, nuts, cryo-dried fruits

d100 One Man's Trash...
1   Junkfood box, weak jingle as batteries die
2   Sealed but dented soda can, out of date
3   Fresh half-eaten burger, slurpy of soda ice
4   Discarded shrink wrap with QRS code label
5   Thick wad of hard, grey chewing gum
6   Half a blister pack of common pain killers
7   Plastic business card, high rank exec
8   2 feet of old nylon rope, frayed ends
9   Intact polymer cargo pallet, slightly worn
10  Large, stained, plastic tarp
11  Foil wrap of brown powder, hypodermic
12  Wet, pale corpse - did they just move?
13  Ribbed condom, usure if it's been used
14  Balled-up nitrile gloves, stained
15  Half a case of individually sealed diapers
16  Discarded field dressing, still moist
17  Urban scavenger (raccoon, dog, fox, cat)
18  Plasticuffs, cut apart, winking red LED
19  Unused pack of disposable ear plugs
20  Gun - hot, cheap or damaged, or all three?
21  Half-used spray can of expanding foam
22  Partial bag of cement-like powder
23  Dispenser gun of 'liquid nails' adhesive
24  Handful of new looking nuts and bolts
25  d10 bricks or cinderblocks
26  Opened box of large ceramic tiles
27  Large sheet of drywall, some damage
28  5 litre can of paint, half empty
29  Grubby plastic bag of spraypaint cans
30  Length of heavy pipe
31  Solid looking, UPVC door, minor damage
32  Broken toilet seat
33  Damaged appliance, possible repairable
34  Worn swivel chair, tatty but functional
35  Rust-stained satellite dish
36  Battered desk fan, electric motor intact
37  Abandoned memory foam mattress
38  Small, dented vacuuming robot
39  Handleless teflon-coated frying pan
40  Discarded detergent bottles or tubs
41  Length of silicone hose from a vehicle
42  Hubcap in good condition
43  Half-empty 2.5 litre of cheap motor oil
44  Small, downed drone, onboard camera
45  Scrapped auto-trashcan, low AI distressed
46  Folding scooter missing wheel/battery
47  Full set of worn tyres for a hatchback
48  Compact scissor-jack, chipped, worn
49  Shopping cart, RFID emitting trace signal
50  Well-used electric screwdriver, jammed
51  Damaged flat-screen television
52  Flaking laser pointer, with dead batteries
53  Lonely wireless earbud
54  Cybernetic implant, damaged or incomplete
55  Dumped external hard drive (see Technical Details)
56  Biometrically locked JPEG viewer
57  Standard battery, 20% charge remaining
58  Obsolete surveillance camera
59  'Retired' synthetic, missing limb(s)
60  Assisted sleep console, induces seizures
61  Plastic Christmas tree, partially melted
62  Toy ride-in car, polymer shell, electric motor
63  Crumpled, rolled poster, recent idol singer
64  Broken statuette of Ganesh
65  Handful of collectible cards for CCG
66  Realistic looking plastic Police badge
67  Brightly coloured toy gun, quite realistic
68  Plush toy animal, shabby, stained
69  Bouquet of dying flowers still in cellophane
70  Spool of electric cable, has been cut
71  Discarded newspapers or magazines
72  PVC box of flat-packed cardboard boxes
73  Flyers bundled together with rubber bands
74  Hardcopy printouts (see Technical Details)
75  Thin, flexible metal sheet, purpose unknown
76  Refuse sack of polystyrene chips
77  Assorted sizes of tatty bubblewrap sheets
78  Plastic tub of assorted glass bottles
79  Heat sealed clear sacks of shredded papers
80  Latex halloween or fancy dress mask
81  Single kevlar safety glove
82  Scratched mirrorshade sunglasses
83  Single designer shoe, scuffing on heel
84  Disposable rain poncho, minor tears
85  Bullet scarred armour, reduced protection
86  Retractable cheap umbrella, misshapen
87  Motorcycle helmet, with hairline fracture
88  Purse or wallet, no money, ID still inside
89  Bag, briefcase or backpack, worn - empty?
90  Tupperware contains human stool sample
91  Human body part, not at all fresh
92  Unidentifiable goo, revolting chemical smell
93  Torn foil sheeting from broken fog catcher
94  Pitiful, dying animal (rat, cat, bird, dog)
95  Sub-par 3D printed object, melting in rain
96  Rain-soaked, discoloured undergarments
97  Pile of ash in the shape of a person
98  Broken glass scattered all over area
99  Cluster of recently smoked cigarette butts
100 Minced meat and hair, possibly also teeth

Strange Encounters

d10 Black Ops (What did we just stumble into?)
1   Parked SUV with lone netrunner, jacked in, cross-legged in the back, walky on seat
2   Four figures in black coveralls with SMGs carry unconscious wage-slave to a van
3   Sleek car screeches to a halt, long coated gunmen get out, readying weapons
4   Spider-like cybershell leaps from roof to roof, pausing to observe PC group
5   Sleek exo-wombs being unloaded from aero transport by armed street gang
6   Gunman with railgun and targeting drone takes aim at nearby apartment window
7   Several yakuza footsoldiers rapidly leaving residence, wiping their katanas clean
8   Obvious synthetic in grubby coveralls stumbles into bar, then detonates skull bomb
9   Syndicate thugs argue with heavily armed group in car park over contents of a bag
10  Three smartly dressed operatives with biotracker observe disembarking passengers

d10 Bio Horrors (What the hell is that thing?)
1   Poisonous Wasps           Fast, hard to spot as wrong until close, sting repeatedly
2   Parasitic Spawn           Crawls for the spine, hacks and burns central nervous system
3   Spider Rat                Hairless, 8-legged rat-thing, DNA imprinted pack hunter
4   Biodrones                 Implant-rigged, small carnivore, directed by human operator
5   Fireflies                 Insects implanted with air-fuel explosives in stomach sacs
6   Spider Hive               Human carrier, riddled with sphincter holes, deploys spiders
7   Disease Bomb              Fleshy organ acts like a dispersal grenade to infect area
8   The Mollusc               Armoured, muscle-launches bone shards tipped with poison
9   Smell Tracker             Pheromone-sensitive tics drawn to target, easy to track
10  Razorhound                Skinless canine with monomolecular teeth, can climb

d10 Atypical Weather (Today's forecast...)
1   Corrosive Fog             Stinking acidic fog enshrouds city, poor visibility and air
2   Creepcloud                Chemically tainted mist triggers environment monitors
3   Acidic Monsoon            Sheets of choking, corrosive rain creates vapour columns
4   Glitter-Twist             Dead nanites carried by air columns catch light like sparks
5   Extreme UV                Burns skin (need flare-paste) and causes visibility problems
6   Wind Tunnel               Extremely tall buildings channel aggressive, lashing winds
7   Sweltering Heat           Operating in armour causes heat fatigue and dehydration
8   Cold Snap                 Heavy frosts and hail create hazardous city conditions
9   Minor Flood               So much rain with nowhere left to go causes urban chaos
10  Lightning Storm           Spectacular electrical storm, heavy ionisation with EMP effects

The Things People Do

d10 Freak Fighters
1   Ghngis Klang           Muscle grafts and body plating, hydraulic hands crush skulls
2   The Gene Witch         Experimental bioware, double-jointed, wild hair, utterly insane
3   Hannah Stazi           Bald, scarred and lithe, wears slashed leathers, knife fighter
4   Shanky Bartella        Glo-tattooed skinhead, shiny black cyberarms, razor claws
5   The White Ape          Augmented albino baboon, parasite infested, goes for the face
6   Indigo Wilde           Wirey muscle, sambo expert, innumerable chrome piercings
7   Gary Savage            Tattooed, 16 year old half-wit, no arms, extremely sharp teeth
8   Jezebel Twist          Petite and calm, mixed martial arts, enhanced muscle matrix
9   Ultimate Hobo          Hairy meth addict, relieved of his hands, replaced with flails
10  Lazarus Rapide         Showy and stylish, fast, will strangle you into submission

d10 Gig Economy (What's my agent got lined up for me today?)
1   Mobile AR Ad Hub       Supplied body rig outputs 'augverts' as you wander streets
2   Human CCTV             Cyberoptics required, must allow remote access & sign NDA
3   Gig Groomer            Given a quota of potential gig workers to sign up for agent
4   Hygiene Dispenser      Loiter in lobbies wearing a tank full of hand sanitiser
5   Substrate Fairy        Find and collect recyclables to be reused for 3D printing
6   Organ Surrogate        Mature cloned organs prior to implantation
7   Meds Manager           Deliver medications to the old and infirm, ensure ingestion
8   Brand Spammer          Promote brand/product/ideology to strangers in public
9   Pest Microwaver        Issued with RFID tagged microwaver to zap vermin
10  Drone Repoman          Trace and recover downed courier drones

d10 Unlawful Trespass (Who's already been in that building?)
1   Crime Scene        A recent crime has the space crawling with forensics drones
2   Coding Stable      Temporary pop-up AR ad studio, staffed by low paid coders
3   Sweat Shop         Illegal 3D minifactury manned by weary indentured immigrants
4   Burglary           Drug addicted wrecks stripping out what's left of the utilities
5   Shelter            Homeless people with failing implants gather for mutual safety
6   Drug Den           Old mattresses, threadbare sleeping bags, drug paraphernalia
7   Stash Point        Holes in the walls hide shrink-wrapped weaponry/munitions
8   Street Artists     Creatively motivated teens spray their masterpiece on the walls
9   Porn Set           Hollow-eyed actors perform under the glare of sim-recorders
10  Field Surgery      Mobile ripperdoc fights to save the life of poorly sedated cyborg

Hackable Assets

d100 Hackable Assets
1-2   Smart Appliance With Camera or Microphone
3-4   Environmental Sensor System
5     Intelligent Washroom
6     Ad Blimp
7-9   Advertising Broadcast System
10    Active GPS Device
11-12 Tablet
13-14 Local Server or Computer
15    Motion Sensor
16-18 Laptop
19-20 Maintenance Robot
21    Remote Loader
22-24 Fire Safety or Evacuation System
25-26 Drone
27    Site's Defense Network
28-29 Traffic Light System or Adaptable Smart Lanes
30    Wifi Toy
31-34 Driverless Car/Aero
35-36 Hub, Router or Exchange
37-38 Security Camera or CCTV
39-40 Driver Assist Link
41-43 Elevators
44-45 Cybermodem
46-47 Cellular Comms Mast or Satellite Receiver
48-49 Automated Heavy Transport Vehicle
50    Mobile Trash Can
51-52 Construction Remote or Concrete Printer
53-54 TV Console
55-57 3D Printer(s)
58    Synthetic's Neural Net
59    Wireless Smart Gun
60    Anti-Nanite Immune System
61-62 Mobility Assistance Linear Frame
63    RFID Tag
64-67 Smartphone or Agent
68-70 Augmented Reality Projector Hub
71    Acoustic Weapon Sensor
72-74 Neural Processor
75-76 Wearable Meds Dispenser
77-78 Hud Visor or Goggles
79-80 Infant Monitoring System
81-83 Utilities Monitoring System
84-85 Self-Serve Recharging or Refueling Point
86-87 Public Vid-Phone
88-89 Saleable AR Tagged Consumables
90    Smart Morphwear
91-92 Manufacturing Robot
93-94 Vendomat
95    Bio-Monitor
96    Bodycam or Go-Pro
97-98 Payment Reader (Chip/Pin or Contactless)
99    Tacnet Comms
100   Cyberpet Processor

d100 Bugs In The System
1-2    Overzealous defensive software
3-4    Harbours malicious virus
5-6    Being assessed by sysadmin
7-8    Layers of legacy programming
9-10   Randomly goes into standby mode
11-12  Badly formatted AR plug-in
13-14  Installing software upgrade
15-16  Hacker currently querying system
17-18  ROM overloaded by surplus apps
19-20  Recently reset to factory defaults
21-22  Inquisitive low-grade AI assistant
23-24  Requires biometric verification
25-26  Auto-downloads to linked device
27-28  Net connection keeps dropping out
29-30  Incompatible operating system
31-32  Pop-up pandemic
33-34  Software conflicts, glitchy
35-36  Processor overclocked
37-38  Active 'vigilance suite' warns user
39-40  Tendency to stall or hang
41-42  Malware sifting for linked devices
43-44  Missing system tools/utilities
45-46  Errors with user interface display
47-48  Physically damaged, or faulty
49-50  Non-standard reprogramming
51-52  d6 software subroutines triggered
53-54  Logs recently tampered with
55-56  Overheating (heat sink failing)
57-58  Heavily encrypted for device type
59-60  Constant security warnings
61-62  Non-intuitive user interface
63-64  Hogging the local bandwidth
65-66  Prone to system crashes
67-68  Uses badly patched legacy code
69-70  File sharing denied
71-72  Configured for periodic back-up
73-74  Insufficient internal battery life
75-76  Reveals a scheduled exploit (short)
77-78  'Access Denied' system file errors
79-80  Reboots the system at random
81-82  Requires admin password
83-84  Can only handle minimal processes
85-86  User interface in foreign language
87-88  Discomforting feedback
89-90  3rd party updaters need unchecking
91-92  Menu options it shouldn't have
93-94  In the process of being stolen
95-96  Running slow, searching for updates
97-98  Feeds log and data to manufacturer
99-100 Tagged and monitored by rogue AI

Hackers & Slicers

d100    Name
1-2     Phreakworm
3-4     Spiderhead
5-6     The Venomous Pao
7-8     Robotnik
9-10    The Shadow Sphere
11-12   Agent Orange
13-14   Javier Script
15-16   Kid Terminal
17-18   Feedfetcher
19-20   Mr ∞
21-22   Lady Probability
23-24   Chip Boy
25-26   Pixelgeist
27-28   Datamancer
29-30   Modal Fraction
31-32   Deathwatch
33-34   Neurocide
35-36   Zauberer
37-38   Patient Zero
39-40   Fractal Artifice
41-42   Winston Smith
43-44   Quantum Clan
45-46   Mr Peepers
47-48   Seraphim
49-50   Billy Headcrash
51-52   Dancer
53-54   The Invisible Hand
55-56   Oblivia 404
57-58   Infobahn
59-60   Hungry Ghost
61-62   Cortical Mafia
63-64   Jake/Finn/Beemo
65-66   Synaptica
67-68   Phantom Paradigm
69-70   Mother_bored
71-72   Bit Rat
73-74   Daemonbot
75-76   Samizdat
77-78   Lexicon Bandit
79-80   Happy Panda
81-82   Mod.Net
83-84   Heatseeker
85-86   Solid State
87-88   Chaos Theory
89-90   The Havoc
91-92   Fuzzy Logic
93-94   Wardroids
95-96   White Knight
97-98   Rominatrix
99-100  Underscourge

d100 Description 1
1-2     Undermines elections in Third World countries, because he can
3-4     Creates netsites for several street gangs, can muster help fast
5-6     Turing Authority agent, under cover, working on major sting
7-8     Escaped from latvian data harvesters, has price on his head
9-10    Collective formed by ex-Transmission Felonies cop
11-12   Works for the bank he hacks, now targeted for assassination
13-14   Confined to ghetto-built mobility walker run on laptop batteries
15-16   Runs collective for corporate uncle, who thinks he's an idiot
17-18   Guarded by a pair of tactically enhanced German Shepherds
19-20   Functionally a human server, sitting on millions
21-22   High aptitude, actually result of drugs tests in orphanarium
23-24   Appears to be a script kiddie, successful exploit royalty farmer
25-26   Clinically dead 3 times, wears a defib rig, surprisingly chipper
27-28   Spends all his time in sensory deprivation tank
29-30   Blinded as a child, navigates entire life via net overlays
31-32   Maintains clones in exowombs, in hidden cold storage facility
33-34   Adept at cracking people's neural interface networks
35-36   Tanzanian 'sorcerer', skims identities to sell to the syndicates
37-38   Apparently in a coma, mercenary accomplices cover for him
39-40   Wrote a dementia triggering software routine, afraid to sell it
41-42   No clue his entire life is monitored by company handlers
43-44   Exceptional programmer, builds in exploits, fears discovery
45-46   Uplifted chimpanzee, fiercely protected by militant ecoclade
47-48   Child prodigy, invalid daughter of experimental neuroscientist
49-50   Experienced darknet scout, haunted by malicious dataforms
51-52   Synthetic, used as meatspace 'avatar' of another hacker (roll)
53-54   Rogue marketing AI, curates online Museum of Dangerous Art
55-56   Targeted for extraction by several major transnationals
57-58   Ousted darling Vrchitect, sells access to hidden labyrinths
59-60   Former forensic system analyst, partial mindwipe
61-62   Squeals to corporation if hired, well paid, makes excuses
63-64   Unremarkable 18 year old triplet nerds, secret geniuses
65-66   Rewired neural pathways push her intelligence beyond normal
67-68   Intelligent hotel system, trades in guests' secrets, very wealthy
69-70   Middle-aged housewife, was in debt, continues for the rush
71-72   Linkjacker specialising in compromising interfaced gear
73-74   Rogue nanite hive-mind, hiding in a hab stack's vent system
75-76   Self-righteous ethical hacktivist, has to make political statement
77-78   Information hygiene specialist, excels at covering any tracks
79-80   Notorious lOltroll, gleefully puts others in real danger
81-82   Deals in downloadable skill apps and customised software
83-84   Suffers Amazon War flashbacks, agoraphobic hoarder
85-86   Runs distribution of dark servers, launders data and bitcoin
87-88   Planning data heist, network map tattooed on missing person
89-90   Uses amphetamines to gain edge, just fucking him up
91-92   Compelled to swat soft targets, knows she shouldn't
93-94   S. Korean professional gamers, transition to big time net crime
95-96   Drug addicted Net regulator, knows systems' weak points
97-98   Manipulated by AIs, believes aliens have chosen her
99-100  Traffic control AI, masquerades as a human teen with ASD

d100 Description 2
1-2     Wanted by African union
3-4     Degree educated anarchist
5-6     Tracking emergent intelligences
7-8     Thick accent, security conscious
9-10    Never, ever seen in meatspace
11-12   Exhausted, caffeine addicted
13-14   Strategic genius, connected
15-16   Used by collective for his money
17-18   Brilliant cryptographer
19-20   Living black banking node
21-22   Wanted by biotech company
23-24   Buys back doors, rents them out
25-26   Reroutes courier drones for fixer
27-28   Teleoperates spiderform shells
29-30   Travels in secure AI-driven car
31-32   Secreting own 'ghost' across net
33-34   Subverts implants for own use
35-36   Superstitious sakawa devotee
37-38   Situation awareness for solos
39-40   Several fixers aware of his work
41-42   Reconfigures obsolete software
43-44   Considering finally going legit
45-46   Sought-after security consultant
47-48   Supports rebel insurgency
49-50   Vindictively alters enemies' IDs
51-52   3D printing an army of drones
53-54   Successful online drug dealer
55-56   Telemetric sniper
57-58   Courted by syndicate bosses
59-60   Conflict averse by State design
61-62   Covertly records everything
63-64   Remote vehicle-jackers
65-66   Sideline in pirate hunting
67-68   Stolen Mossad virus adaptation
69-70   Infamous node saboteur
71-72   Virtual cosplayer club president
73-74   Financing transhuman revolt
75-76   Sub-par AR 'street artist'
77-78   Mines archeosystems for data
79-80   Engineers violent flash mobs
81-82   Lives in decommissioned sub
83-84   Expert MOUT co-ordinator
85-86   Hostile and deadly black ICE
87-88   Tagging and tracking homeless
89-90   Recon via subverted appliances
91-92   Ghost-hacked by desperate cop
93-94   Being used by corrupt manager
95-96   Under Turing investigation
97-98   Hosts popular VR sex dungeon
99-100  Intimately knows the city streets

d100 Appearance/Demeanour
1-2     Army fatigues, manipulative
3-4     Short red mohawk, bondage pants
5-6     Reliable, obsessive, clean cut
7-8     Thin, bald, wild eyed, submissive
9-10    Translucent, shadowy avatars
11-12   Cheap suit, unkempt, nervous
13-14   Grubby, dishevelled, paraplegic
15-16   Wears labelled casuals, arrogant
17-18   Cosmonaut suit, catheter, bright
19-20   Slick hair, sharp suit, confident
21-22   Humourless, kawaii-punk, tomboy
23-24   Late 20s, sophisticated, ruthless
25-26   Spiritual, hippy, infosocialist
27-28   Malnourished, pastey, dank
29-30   African, child soldier, gregarious
31-32   Wealthy, suave, fatalist, drinker
33-34   Untrusting, baggy clothes, caps
35-36   Skeletal, tribal scars, chrome teeth
37-38   Sterile stasis tank, philosophical
39-40   T-shirts, jeans, sneakers, torn
41-42   Slight, scruffy, shuffling, weak
43-44   Hyperactive, 3/4 pants, paranoid
45-46   Hairy, smelly, tasteful aesthete
47-48   Bed-ridden, trapped, unloved
49-50   Leather coat, skin cut, bruiser
51-52   Serene, tidy, meticulous, plastic
53-54   Presents as gaunt Victorian gent
55-56   Young, serious, severe short bob
57-58   Slacks, loafers, tailored shirts
59-60   Stuttering, intelligent, frustrated
61-62   Sly, overweight, pork pie hat
63-64   Long hair, beanies, Ts, juvenile
65-66   Distant, fidgety, emaciated
67-68   Only hear a smooth, baritone voice
69-70   Pear-shaped, leather jacket, boots
71-72   Androgynous girl, talks too fast
73-74   Scattering of slightly silvered dust
75-76   Pale, bleached dreads, patronising
77-78   Cuban exile, tech coveralls, cigar
79-80   Obese, curly hair, spots, obnoxious
81-82   Toned, vest, lounge pants, stares
83-84   Sweats, unwashed, gruff, afraid
85-86   Tall, imposing, Slavic, smart coat
87-88   Driven, chain smokes, agitated
89-90   Tremors, vacant eyes, bad teeth
91-92   Frumpy, short hair, kaftan, twitch
93-94   Korean teens in sportswear
95-96   Stained shirt, tie, shakes, furtive
97-98   Mannish, scarlet curls, vest tops
99-100  Floppy hair, sullen (vidchat only)

d100 Relationship
1-2     Owes favour to...
3-4     Suspicious of...
5-6     Interested in...
7-8     Hiding from...
9-10    Mentor to...
11-12   Make use of...
13-14   Friend of...
15-16   Seeks aid of...
17-18   Looking for...
19-20   Associate of...
21-22   Was partner of...
23-24   Schemes with...
25-26   Rivalry with...
27-28   Trusts only...
29-30   Seeks service of...
31-32   Seeks aid of...
33-34   Avoids...
35-36   Will betray...
37-38   Seeks work of...
39-40   Influence over...
41-42   Jealous of...
43-44   Curious about...
45-46   Fond of...
47-48   Seeks service of...
49-50   Unsure about...
51-52   Obvious to...
53-54   Manipulates...
55-56   In love with...
57-58   Friend of...
59-60   Seeks aid of...
61-62   Irritated by...
63-64   Crush on...
65-66   Curious about...
67-68   Suspicious of...
69-70   Aunt of...
71-72   In the way of...
73-74   Make use of...
75-76   Was student of...
77-78   Despises...
79-80   Messes with...
81-82   Friend of...
83-84   Used by...
85-86   Suspicious of...
87-88   Seeks service of...
89-90   Influence over...
91-92   Trying to help...
93-94   Seek aid of...
95-96   Use service of...
97-98   Intrigued by...
99-100  Blackmails... (1-2)

d100 50 Mysterious First Contacts
01-02 Hacker drops a .txt file on a PC’s device entitled ‘READ_M3’ containing a v-mail address and a cell phone number; the file is tagged with a clever read-receipt script
03-04 PC receives a call from a low grade AI automated dialling system, that only gives a phone number anda time at which to call it - repeatedly
05-06 Vidfile arrives on PC’s device via courier software, an indistinct, grainy request to log on to the dubious Ebony Ziggurat VRotica netsite, at a specific time
07-08 PC’s sensory implant (either optical or audio) receives repetitive message to call a cell phone number (either a scrolling message or a nagging synthetic voice)
09-10 Sonny De Silva, an infamous fixer, approaches the group via hacked AR projection to ask for their contact details regarding an employment opportunity they may be interested in
11-12 Each PC receives a call at exactly the same time (conference call) informing them they will be contacted again shortly (GM’s discretion as to when that happens)
13-14 Leather-clad biker screeches to a halt and offers a cell phone to the PCs without getting off her parabolic curve of a bike, saying "Its for you", and she'll definitely want the phone back
15-16 Obviously augmented German Shepherd trots over, calmly states the PC should contact a particular v-mail address, which he will spell out s-l-o-w-l-y, before casually walking away
